"Rk","Name","&nbsp","gp","gs","min","ga","gaa","sv","sv%","wins","losses","ties","shutouts"
"1","I  Bellinger","Trent","3","2","135:00","0","0.00","3","1.000","1","1","0","1/0"
"1","T  Mitchener","Nipissing","2","2","180:00","0","0.00","2","1.000","0","0","0","2/0"
"1","P  Vrysellas","York","4","4","360:00","0","0.00","17","1.000","2","0","0","3/0"
"4","L  Gellner","Windsor","4","4","360:00","1","0.25","31",".969","0","0","0","2/0"
"5","K  Doetzel","Guelph","3","3","270:00","1","0.33","11",".917","1","0","0","2/0"
"6","A  Mudie","McMaster","3","3","270:00","3","1.00","25",".893","0","1","0","1/0"
"7","C  Lachance-Soula","Carleton","1","1","90:00","1","1.00","6",".857","0","0","1","0/0"
"8","S  St.Croix","Western","3","3","269:27","3","1.00","14",".824","1","0","0","1/0"
"9","E  Hendrie","Brock","3","3","270:00","3","1.00","11",".786","1","0","0","0/0"
"10","H  Petrosino","Waterloo","2","2","180:00","8","4.00","28",".778","0","2","0","0/0"
"11","B  Habinski","RMC","1","1","90:00","3","3.00","9",".750","0","1","0","0/0"
"12","A  Chisholm","Ontario Tech","3","3","180:00","8","4.00","23",".742","1","2","0","0/0"
"13","H  Jones","Laurentian","3","3","270:00","14","4.67","34",".708","0","0","0","0/0"
"14","D  McLeod","Waterloo","2","2","177:11","6","3.05","14",".700","0","1","0","0/0"
"15","M  Chandler","Algoma","1","1","90:00","7","7.00","16",".696","0","1","0","0/0"
"16","M  Nardin","Toronto","3","3","270:00","4","1.33","9",".692","1","0","0","2/0"
"17","J  Lacasse","Ottawa","3","2","135:00","1","0.67","2",".667","0","0","0","0/0"
"17","K  Tynan","Queen's","3","3","270:00","3","1.00","6",".667","1","0","1","0/0"
"19","A  Harrison","Toronto Metropolitan","1","1","90:00","5","5.00","9",".643","0","1","0","0/0"
"20","T  Isama","Wilfrid Laurier","3","3","266:38","6","2.03","10",".625","0","0","0","0/0"
"20","C  Joslin","Ottawa","4","2","180:00","3","1.50","5",".625","1","0","0","0/0"
"22","M  Townes","Algoma","1","1","90:00","5","5.00","7",".583","0","1","0","0/0"
