"Name","University","gp","gs","g","a","pts","sh","sh%","sog","sog%","yc","pk","gw"
"J  Milligan","Nipissing","2","2","3","4","7","11",".273","7",".636","0","0-0","0"
"C  Brooks","Nipissing","2","2","3","3","6","5",".600","5","1.000","1","0-0","0"
"C  Provost","Ottawa","4","4","5","0","5","18",".278","11",".611","1","0-0","1"
"C  Way","Queen's","3","3","2","2","4","15",".133","9",".600","0","0-0","0"
"S  Brooks","Nipissing","2","-","2","1","3","6",".333","4",".667","0","1-1","1"
"A  Cafaro","Nipissing","2","-","3","0","3","6",".500","6","1.000","0","0-0","0"
"S  Marikano","Wilfrid Laurier","4","4","3","0","3","7",".429","6",".857","2","0-1","1"
"A  Thomas","Western","4","4","2","1","3","6",".333","3",".500","0","1-1","0"
"B  Tracey","Ontario Tech","3","3","3","0","3","1","3.000","2","2.000","0","0-0","1"
"S  Bisante","Brock","3","3","2","0","2","7",".286","5",".714","0","0-0","0"
"O  Brown","Guelph","3","3","2","0","2","11",".182","8",".727","0","0-0","1"
"H  Chown","Toronto","3","3","2","0","2","2","1.000","2","1.000","1","1-1","1"
"N  Flemming","York","4","4","2","0","2","14",".143","8",".571","1","0-0","1"
"R  Fowler","Western","4","4","1","1","2","9",".111","1",".111","0","0-0","1"
"C  Gomes","Guelph","3","3","2","0","2","8",".250","6",".750","0","0-0","1"
"M  Gravel","Queen's","3","-","2","0","2","4",".500","3",".750","0","0-0","0"
"J  Matsukubo","Queen's","3","2","0","2","2","10",".000","4",".400","0","0-0","0"
"S  Sakran","Queen's","3","3","0","2","2","3",".000","1",".333","0","0-0","0"
"M  Skinner","Western","4","2","1","1","2","3",".333","2",".667","0","0-0","0"
"M  Strickler","Queen's","3","3","2","0","2","7",".286","4",".571","0","0-0","0"
"C  Uddenberg","Guelph","3","3","2","0","2","9",".222","6",".667","1","0-0","0"
"H  Vickers","Western","4","4","2","0","2","8",".250","6",".750","0","0-0","2"
"H  Windebank","Wilfrid Laurier","4","4","2","0","2","8",".250","6",".750","0","0-0","1"
"O  Allen","Ottawa","4","-","1","0","1","5",".200","3",".600","0","0-0","0"
"R  Athwal","Queen's","3","2","1","0","1","11",".091","2",".182","0","0-0","0"
"M  Badovinac","Toronto","3","3","1","0","1","5",".200","4",".800","0","0-0","0"
"D  Bardos","Trent","3","3","1","0","1","1","1.000","1","1.000","0","0-0","0"
"E  Beaulieu","Windsor","4","3","0","1","1","3",".000","1",".333","0","0-0","0"
"A  Bernardi","Guelph","3","1","1","0","1","4",".250","3",".750","0","0-0","0"
"M  Birani","Western","4","4","1","0","1","7",".143","5",".714","0","0-0","0"
"B  Bishop","Brock","3","3","1","0","1","12",".083","6",".500","0","0-1","0"
"S  Bouak","Ottawa","4","4","1","0","1","4",".250","2",".500","0","0-0","1"
"K  Brzozowski","Ottawa","4","4","1","0","1","3",".333","2",".667","0","0-0","0"
"E  Calabrese","McMaster","4","4","1","0","1","6",".167","3",".500","0","0-0","1"
"B  Caldwell","McMaster","3","1","1","0","1","2",".500","2","1.000","0","0-0","0"
"M  Capovilla","Guelph","3","-","1","0","1","5",".200","3",".600","0","0-0","0"
"J  Chouhan","York","4","4","0","1","1","12",".000","7",".583","0","0-0","0"
"A  Cimermancic","Waterloo","4","4","1","0","1","6",".167","4",".667","0","0-0","0"
"V  Corry","Windsor","4","1","0","1","1","1",".000","1","1.000","0","0-0","0"
"N  Coscarella","Trent","2","-","1","0","1","2",".500","2","1.000","0","0-0","1"
"P  De Santo","York","4","4","1","0","1","5",".200","3",".600","0","0-0","0"
"E  Di Matteo","York","4","4","1","0","1","2",".500","2","1.000","0","0-0","1"
"N  Dlamini","Ottawa","4","4","1","0","1","7",".143","2",".286","0","1-1","0"
"T  Dubois-Philips","Western","1","-","0","1","1","0","-","0","-","0","0-0","0"
"K  Eaton","Brock","2","2","1","0","1","1","1.000","1","1.000","0","0-0","1"
"T  Esprit","Ottawa","3","3","0","1","1","0","-","0","-","0","0-0","0"
"D  Faichnie","York","4","1","1","0","1","5",".200","5","1.000","0","0-0","0"
"A  Gendreau","Ottawa","4","4","0","1","1","12",".000","7",".583","0","0-0","0"
"K  Hellstrom","Toronto","3","3","0","1","1","3",".000","1",".333","2","0-0","0"
"G  Hogan","Ontario Tech","3","1","1","0","1","0","-","1","-","0","0-0","0"
"J  Johnson","Wilfrid Laurier","3","3","1","0","1","3",".333","3","1.000","0","0-0","0"
"V  Khan","York","3","-","1","0","1","2",".500","2","1.000","0","0-0","0"
"K  Knafelc","Guelph","2","2","1","0","1","5",".200","3",".600","0","0-0","0"
"L  Kroeker","Wilfrid Laurier","4","-","1","0","1","1","1.000","1","1.000","0","0-0","0"
"K  Kyle","Ottawa","4","4","1","0","1","4",".250","1",".250","1","0-0","0"
"G  Machado","Wilfrid Laurier","3","3","1","0","1","1","1.000","1","1.000","1","0-0","0"
